n,m,anm,bnm,cnm,amn,bmn,cmn
1,2,189.66,-0.27232,0,-95.41801,0.061708,0
1,3,114.2,0.0933,0,16.07,-0.2998,0
1,4,7.339,-0.4538,0,47.2,0.3575,0
1,5,2777,-4.674,0.001551,1606,-4.746,0.0009181
1,6,2409.4,-3.0099,0,82.593,-0.48575,0
1,7,1391.3,-3.6156,0.001144,-17.253,0.8389,0.0009021
1,8,1381,-0.9977,0,1987,-4.615,0
1,9,433.6,0.1473,0,199,-0.8709,0
1,10,875.85,0,0,256.21,0,0
1,11,98.65601,1.9294,-0.0031331,632.22,-3.3912,0.0039282
1,12,508.4,-0.6215,0,238.5,-0.5358,0
1,13,233.1,-0.3155,0,-9.654,-0.03242,0
1,14,-164.04,4.9683,-0.010252,326.04,-2.6348,0.0033576
1,15,350.58,0.066729,0,207.26,-1.0916,0
1,16,-175.7,1.857,0,205.65,-1.4436,0
1,17,958.74,-0.14836,0,2257.3,-5.6676,0
1,18,1802.3,-17.171,0.036,-436.15,3.4225,-0.0087
1,19,593.07,0.7335,0,293.81,-1.3979,0
1,20,1182.2,-3.2647,0.009198,2017.7,-9.0933,0.010238
1,21,401,-0.72772,0,-65.68501,0.074091,0
1,22,-233.66,1.2561,0,311.55,-1.1856,0
1,23,-653.74,4.5311,-0.008735,1302.6,-8.427,0.014417
1,24,267.51,-1.7109,0.003388,-148.07,1.0927,-0.002416
1,25,-1385,15.89,-0.04831,3264,-20.84,0.03317
1,26,2345,-13.2,0.02156,-396.5,3.092,-0.006266
1,27,2383,-2.693,0,1744,-4.082,0
1,28,24.33,1.521,0,72.12,-1.126,0
1,29,465.9,-0.8557,0,-59.9,-0.008313,0
1,30,577.7,0.9384,0,210.5,-1.081,0
1,31,897.7,0,0,28.17,0,0
1,32,559.9,-0.3564,0,166,-0.7116,0
1,33,527.7,-0.499,0,-62.08,-0.3658,0
1,34,477.5,-0.6581,0,-22.04,-0.1018,0
1,35,-547.5,3.457,0,477.1,-2.175,0
1,36,1662,0,0,-291.9,0,0
1,37,334.5,0.009102,0,3.202,-0.6894,0
1,38,468.5,-1.042,0,-160.3,-0.0108,0
1,39,406.2,0.6525,0,151,-0.9023,0
1,40,342,-1.679,0,-484.3,2.467,0
1,41,1312,-3.643,0,-314.6,1.287,0
1,42,-117.1,0.5481,-0.00098,170.9,-0.8062,0.001291
1,43,79.507,0.70892,-0.0020983,186.71,-1.3546,0.0024016
1,44,1935.7,0,0,-21.23,0,0
1,45,164.25,-0.26834,0,-44.069,0.027778,0
1,46,677.32,-2.0066,0,-249.85,1.7054,0
1,47,3150.86,-3.1003,0,189.911,-0.9413,0
1,48,1529.52,-6.2025,0.00975,82.6,-0.615,-0.000623
1,49,-923.282,7.80959,-0.008808,183.02,-1.22588,0.000583
1,52,24.432,0.2915,0,-16.034,-0.5337,0
1,53,269.67,0,0,-41,0,0
1,55,407.47,-0.2037,-0.00016,-0.067,-0.3935,4.00E-05
1,56,1058.31,-1.1856,0,438.76,-1.2256,0
1,61,860.51,-1.96009,0,-309.943,0.64856,0
1,84,70.38,0.24511,0,77.7793,0.83298,0
1,85,1260.02,-4.55446,0.0067607,996.5333,-5.48462,0.0095873
1,87,283.8202,-3.9547,0.0103753,907.3842,0.46568,-0.0055872
1,89,360.8016,2.05302,-0.0166992,454.5569,-1.47382,0.0010454
1,90,656.528,-4.2237,0.0074475,-307.8627,3.60996,-0.0081757
1,91,1094.303,-1.11888,0,243.462,-1.03559,0
1,93,468.398,-2.55668,0,2660.16,-6.86512,0
1,98,1859.374,4.06308,0,1131.305,-0.93175,0
1,99,4041.479,-3.90698,-0.0254482,3504.325,2.66288,-0.0330202
2,3,174.1,-0.5886,0,-157.2,0.6166,0
2,4,117.3,-0.8552,0,-113.1,1.172,0
2,5,2649,-6.508,0.004822,1566,-5.809,0.005197
2,6,-628.07,10,-0.014972,-96.297,0.6304,-0.0018
2,7,778.3,0.1482,0,-1301,4.072,0
2,8,1207,-1.955,0,191.6,0.4936,0
2,9,179.8,0.69911,0,91.811,-0.71715,0
2,10,476.25,0,0,202.49,0,0
2,11,980.74,-2.4224,0,-582.82,1.6732,0
2,12,309.8,0,0,-28.63,0,0
2,13,733.3,-2.509,0,-844.3,2.945,0
2,14,1857,-8.653001,0.01088,498.8,-5.148,0.01039
2,15,224.8,0,0,-124.32,0,0
2,16,165.3,0,0,-131.5,0,0
2,17,2800,-10.72,0.01339,3982,-19.72,0.02783
2,18,13.502,0,0,-13.317,0,0
2,19,634.85,0,0,-181.93,0,0
2,20,-2026.1,8.1549,0,-347.5,1.216,0
2,21,498.9,-1.487,0,-359.6,1.238,0
2,22,-44.958,0,0,55.881,0,0
2,23,-204.51,0,0,255.41,0,0
2,24,616.62,-2.1164,0,-663.45,2.3281,0
2,25,-56.69,9.805,0,215.5,-1.519,0
2,26,417.6,0.08726,0,452.2,-1.997,0
2,28,46.06,1.545,0,70.88,-1.09,0
2,30,470.4,0,0,-146.1,0,0
2,33,-19.82,0.5941,0,160.4,-0.5148,0
2,34,642.27,-3.8641,0.0055,-197.06,1.8723,-0.0027
2,35,-174.6,1.96,0,154,-1.303,0
2,36,179.7,0,0,-113.8,0,0
2,37,967.9,-0.03862,0,-300.6,-0.09576,0
2,38,141.1,-0.3025,0,-139.5,0.9076,0
2,39,388.4,0,0,-152.2,0,0
2,41,-339.8,1.297,0,698.5,-2.159,0
2,42,2.406,-0.1882,0,60.2,0.1565,0
2,43,-322.1,-0.20367,0.004517,1182.6,-5,0.0037455
2,45,389.28,0,0,-174.41,0,0
2,46,491.23,-1.8285,0,-734.87,3.3463,0
2,47,673.2271,1.9523,0,92.7,-0.8135,0
2,48,249.18,0,0,-81.79,0,0
2,49,1171.32,3.92127,0,90.0134,-0.920017,0
2,52,-86.231,0,0,-39.373,0,0
2,53,9.389999,0,0,57.86,0,0
2,55,-456.08,2.4334,0,298.55,-1.4153,0
2,56,775.56,0,0,-65.66,0,0
2,61,324.316,0,0,-156.458,0,0
2,84,-44.3408,-0.65212,0,1753.135,-3.112,0
2,85,566.2915,-0.14057,0,-1213.93,5.14012,0
2,87,-92.7302,-0.25088,0,-1151.296,4.7125,0
