No.,Subgroup Name,Main Group No.,Main Group Name,Rk,Qk
1,CH3,1,CH2,0.6325,1.0608
2,CH2,1,CH2,0.6325,0.7081
3,CH,1,CH2,0.6325,0.3554
4,C,1,CH2,0.6325,0
5,CH2=CH,2,C=C,1.2832,1.6016
6,CH=CH,2,C=C,1.2832,1.2489
7,CH2=C,2,C=C,1.2832,1.2489
8,CH=C,2,C=C,1.2832,0.8962
9,ACH,3,ACH,0.3763,0.4321
10,AC,3,ACH,0.3763,0.2113
11,ACCH3,4,ACCH2,0.91,0.949
12,ACCH2,4,ACCH2,0.91,0.7962
13,ACCH,4,ACCH2,0.91,0.3769
14,OH (P),5,OH,1.2302,0.8927
15,CH3OH,6,CH3OH,0.8585,0.9938
16,H2O,7,H2O,1.7334,2.4561
17,ACOH,8,ACOH,1.08,0.975
18,CH3CO,9,CH2CO,1.7048,1.67
19,CH2CO,9,CH2CO,1.7048,1.5542
20,CHO,10,CHO,0.7173,0.771
21,CH3COO,11,CCOO,1.27,1.6286
22,CH2COO,11,CCOO,1.27,1.4228
23,HCOO,12,HCOO,1.9,1.8
24,CH3O,13,CH2O,1.1434,1.6022
25,CH2O,13,CH2O,1.1434,1.2495
26,CHO,13,CH2O,1.1434,0.8968
27,THF,43,CY-CH2O,1.7023,1.8784
28,CH3NH2,14,CH2NH2,1.6607,1.6904
29,CH2NH2,14,CH2NH2,1.6607,1.3377
30,CHNH2,14,CH2NH2,1.6607,0.985
31,CH3NH,15,CH2NH,1.368,1.4332
32,CH2NH,15,CH2NH,1.368,1.0805
33,CHNH,15,CH2NH,1.368,0.7278
34,CH3N,16,(C)3N,1.0746,1.176
35,CH2N,16,(C)3N,1.0746,0.824
36,ACNH2,17,ACNH2,1.1849,0.8067
37,AC2H2N,18,PYRIDINE,1.4578,0.9022
38,AC2HN,18,PYRIDINE,1.2393,0.633
39,AC2N,18,PYRIDINE,1.0731,0.353
40,CH3CN,19,CH2CN,1.5575,1.5193
41,CH2CN,19,CH2CN,1.5575,1.1666
42,COOH,20,COOH,0.8,0.9215
43,HCOOH,44,HCOOH,0.8,1.2742
44,CH2CL,21,CCL,0.9919,1.3654
45,CHCL,21,CCL,0.9919,1.0127
46,CCL,21,CCL,0.9919,0.66
47,CH2CL2,22,CCL2,1.8,2.5
48,CHCL2,22,CCL2,1.8,2.1473
49,CCL2,22,CCL2,1.8,1.7946
50,CHCL3,45,CHCL3,2.45,2.8912
51,CCL3,23,CCL3,2.65,2.3778
52,CCL4,24,CCL4,2.618,3.1836
53,ACCL,25,ACCL,0.5365,0.3177
54,CH3NO2,26,CNO2,2.644,2.5
55,CH2NO2,26,CNO2,2.5,2.304
56,CHNO2,26,CNO2,2.887,2.241
57,ACNO2,27,ACNO2,0.4656,0.3589
58,CS2,28,CS2,1.24,1.068
59,CH3SH,29,CH3SH,1.289,1.762
60,CH2SH,29,CH3SH,1.535,1.316
61,FURFURAL,30,FURFURAL,1.299,1.289
62,DOH,31,DOH,2.088,2.4
63,I,32,I,1.076,0.9169
64,BR,33,BR,1.209,1.4
65,CH=-C,34,C=-C,0.9214,1.3
66,C=-C,34,C=-C,1.303,1.132
67,DMSO,35,DMSO,3.6,2.692
68,ACRY,36,ACRY,1,0.92
69,CL-(C=C),37,CLCC,0.5229,0.7391
70,C=C,2,C=C,1.2832,0.4582
71,ACF,38,ACF,0.8814,0.7269
72,DMF,39,DMF,2,2.093
73,HCON(..,39,DMF,2.381,1.522
74,CF3,40,CF2,1.284,1.266
75,CF2,40,CF2,1.284,1.098
76,CF,40,CF2,0.8215,0.5135
77,COO,41,COO,1.6,0.9
78,CY-CH2,42,CY-CH2,0.7136,0.8635
79,CY-CH,42,CY-CH2,0.3479,0.1071
80,CY-C,42,CY-CH2,0.347,0
